geo,variant,year,population,net_migration,olddep,PC_Y0_14,PC_Y15_64,share65
IE,LMIGR,2033,5368592.0,5625.0,29.2,15.5,65.4,19.099999999999994
IE,LMIGR,2034,5386443.0,8665.0,29.8,15.3,65.2,19.5
IE,LMIGR,2035,5407152.0,9035.0,30.6,15.1,65.0,19.900000000000006
IE,LMIGR,2036,5428059.0,8567.0,31.4,15.1,64.6,20.30000000000001
IE,LMIGR,2037,5448272.0,8545.0,32.2,15.0,64.3,20.700000000000003
IE,LMIGR,2038,5468208.0,8874.0,33.1,14.9,63.9,21.199999999999996
IE,LMIGR,2039,5488163.0,8847.0,34.0,14.9,63.5,21.599999999999994
IE,LMIGR,2040,5507748.0,8745.0,35.0,15.0,63.0,22.0
IE,LMIGR,2041,5526780.0,8580.0,36.0,15.0,62.5,22.5
IE,LMIGR,2042,5545108.0,8495.0,37.0,15.1,62.0,22.900000000000006
IE,LMIGR,2043,5562655.0,8437.0,38.1,15.2,61.4,23.4
IE,LMIGR,2044,5579321.0,8648.0,39.3,15.2,60.9,23.9
IE,LMIGR,2045,5595221.0,8457.0,40.6,15.3,60.3,24.400000000000006
IE,LMIGR,2046,5609791.0,7924.0,41.9,15.3,59.7,25.0
IE,LMIGR,2047,5622547.0,7469.0,43.1,15.4,59.1,25.499999999999993
IE,LMIGR,2048,5633456.0,6979.0,44.2,15.4,58.7,25.89999999999999
IE,LMIGR,2049,5642396.0,6468.0,45.2,15.4,58.3,26.299999999999997
IE,LMIGR,2050,5649268.0,6197.0,46.0,15.3,58.0,26.700000000000003
IE,LMIGR,2051,5654265.0,5726.0,46.8,15.3,57.7,27.0
IE,LMIGR,2052,5657181.0,5268.0,47.4,15.2,57.5,27.299999999999997
IE,LMIGR,2053,5658016.0,5268.0,47.9,15.1,57.4,27.500000000000007
IE,LMIGR,2054,5657286.0,4886.0,48.3,15.0,57.3,27.700000000000003
IE,LMIGR,2055,5654646.0,4793.0,48.7,14.9,57.2,27.89999999999999
IE,LMIGR,2056,5650443.0,4670.0,49.0,14.8,57.2,28.0
IE,LMIGR,2057,5644731.0,4546.0,49.2,14.6,57.2,28.200000000000003
IE,LMIGR,2058,5637589.0,4546.0,49.4,14.5,57.3,28.200000000000003
IE,LMIGR,2059,5629268.0,4595.0,49.6,14.3,57.3,28.400000000000006
IE,LMIGR,2060,5619925.0,4669.0,49.7,14.1,57.4,28.500000000000007
IE,LMIGR,2061,5609730.0,4843.0,49.8,14.0,57.4,28.6
IE,LMIGR,2062,5598907.0,5270.0,50.0,13.8,57.4,28.800000000000004
IE,LMIGR,2063,5587833.0,5418.0,50.3,13.7,57.4,28.9
IE,LMIGR,2064,5576343.0,5581.0,50.7,13.6,57.4,29.000000000000007
IE,LMIGR,2065,5564592.0,5673.0,51.0,13.5,57.3,29.200000000000003
IE,LMIGR,2066,5552564.0,5867.0,51.3,13.4,57.2,29.39999999999999
IE,LMIGR,2067,5540500.0,6044.0,51.7,13.3,57.2,29.5
IE,LMIGR,2068,5528438.0,6197.0,52.1,13.3,57.0,29.700000000000003
IE,LMIGR,2069,5516432.0,6322.0,52.5,13.2,56.9,29.9
IE,LMIGR,2070,5504529.0,6548.0,52.9,13.2,56.7,30.099999999999994
IE,LMRT,2023,5174288.0,33324.0,23.2,19.4,65.4,15.199999999999989
IE,LMRT,2024,5226020.0,14314.0,23.6,18.9,65.6,15.5
IE,LMRT,2025,5257823.0,15187.0,24.1,18.4,65.8,15.799999999999997
IE,LMRT,2026,5289900.0,15976.0,24.6,17.9,65.9,16.19999999999999
IE,LMRT,2027,5322325.0,16700.0,25.1,17.4,66.0,16.599999999999994
IE,LMRT,2028,5355135.0,16833.0,25.7,17.0,66.1,16.900000000000006
IE,LMRT,2029,5387942.0,16921.0,26.2,16.6,66.1,17.30000000000001
IE,LMRT,2030,5420819.0,16951.0,26.9,16.3,66.0,17.700000000000003
IE,LMRT,2031,5453774.0,16937.0,27.4,16.0,65.9,18.099999999999994
IE,LMRT,2032,5486852.0,16879.0,28.0,15.8,65.8,18.400000000000006
IE,LMRT,2033,5520018.0,16783.0,28.6,15.5,65.7,18.799999999999997
IE,LMRT,2034,5553242.0,19662.0,29.2,15.4,65.5,19.099999999999994
IE,LMRT,2035,5589495.0,19201.0,29.9,15.2,65.3,19.5
IE,LMRT,2036,5625404.0,18714.0,30.7,15.2,64.9,19.89999999999999
IE,LMRT,2037,5660886.0,18238.0,31.4,15.1,64.6,20.30000000000001
IE,LMRT,2038,5695861.0,18184.0,32.2,15.1,64.2,20.700000000000003
IE,LMRT,2039,5730707.0,17930.0,33.1,15.1,63.8,21.10000000000001
IE,LMRT,2040,5765141.0,17633.0,34.0,15.2,63.3,21.5
IE,LMRT,2041,5798994.0,17275.0,35.0,15.3,62.8,21.900000000000006
IE,LMRT,2042,5832079.0,16986.0,35.9,15.3,62.3,22.400000000000006
IE,LMRT,2043,5864306.0,16734.0,36.9,15.4,61.8,22.799999999999997
IE,LMRT,2044,5895561.0,16784.0,38.0,15.5,61.3,23.200000000000003
IE,LMRT,2045,5925961.0,16423.0,39.2,15.5,60.7,23.799999999999997
IE,LMRT,2046,5954926.0,15728.0,40.5,15.6,60.1,24.300000000000004
IE,LMRT,2047,5981978.0,15114.0,41.6,15.6,59.6,24.800000000000004
IE,LMRT,2048,6007082.0,14468.0,42.7,15.6,59.2,25.200000000000003
IE,LMRT,2049,6030095.0,13787.0,43.6,15.6,58.8,25.60000000000001
