ccaa,anyo,ipv_general,salario_medio_anual,salario_idx,ratio_asequibilidad
País Vasco,2015,100.0,27571.31,100.0,1.0
País Vasco,2016,102.574,27480.71,99.67139755056978,1.0291217191768334
País Vasco,2017,107.89,28204.49,102.29651764823653,1.0546791081490925
País Vasco,2018,113.748,28470.94,103.26292076800121,1.101537697694562
País Vasco,2019,118.688,29476.21,106.90899344282154,1.1101778828689306
País Vasco,2020,121.362,30224.16,109.62177712992236,1.1070975419068718
País Vasco,2021,123.882,31063.68,112.66668141629832,1.0995442347526114
País Vasco,2022,131.765,32313.73,117.2005610179567,1.124269362326788
País Vasco,2023,136.316,33504.92,121.52095783624353,1.1217488935833904
País Vasco,2024,147.897,35170.28,127.56114961530662,1.1594204069657679
"Rioja, La",2008,170.416,20674.16,95.02394424912866,1.7934006144094852
"Rioja, La",2009,161.125,21179.93,97.34859784003062,1.6551342656703778
"Rioja, La",2010,155.023,21035.86,96.68641375864729,1.6033586723670914
"Rioja, La",2011,137.909,20996.76,96.50669974752708,1.429009595818593
"Rioja, La",2012,117.833,20346.24,93.51673661417884,1.260020444106626
"Rioja, La",2013,101.723,20628.81,94.81550357382685,1.0728519721544771
"Rioja, La",2014,99.483,21954.1,100.906889297548,0.9858890774707233
"Rioja, La",2015,100.0,21756.79,100.0,1.0
"Rioja, La",2016,101.96,21999.02,101.11335357835416,1.008373240444347
"Rioja, La",2017,104.037,22234.21,102.19434944217414,1.018030845813726
"Rioja, La",2018,109.157,22641.17,104.06484596303038,1.0489325092431179
"Rioja, La",2019,115.012,22877.13,105.14938095187756,1.09379626355229
"Rioja, La",2020,117.18,23292.63,107.05912958667156,1.0945353325064624
"Rioja, La",2021,121.331,23716.88,109.00909555131983,1.1130355626414605
"Rioja, La",2022,130.006,24903.38,114.46256547955834,1.1357949164892476
"Rioja, La",2023,133.66,26319.06,120.96940771133977,1.104907451633911
"Rioja, La",2024,145.982,27855.4,128.03083543114587,1.1402096964251096
