freq,mortalit,sex,icd10,unit,geo,time,value
A,TRT,T,TOTAL,RT,LU,2021,54.69
A,TRT,T,TOTAL,RT,LU,2022,60.42
A,TRT,T,TOTAL,RT,LU,2023,51.71
A,TRT,T,TOTAL,RT,LV,2011,236.17
A,TRT,T,TOTAL,RT,LV,2012,226.0
A,TRT,T,TOTAL,RT,LV,2013,220.85
A,TRT,T,TOTAL,RT,LV,2014,209.33
A,TRT,T,TOTAL,RT,LV,2015,206.92
A,TRT,T,TOTAL,RT,LV,2016,203.16
A,TRT,T,TOTAL,RT,LV,2017,198.95
A,TRT,T,TOTAL,RT,LV,2018,196.43
A,TRT,T,TOTAL,RT,LV,2019,188.59
A,TRT,T,TOTAL,RT,LV,2020,185.53
A,TRT,T,TOTAL,RT,LV,2021,205.04
A,TRT,T,TOTAL,RT,LV,2022,200.7
A,TRT,T,TOTAL,RT,LV,2023,189.45
A,TRT,T,TOTAL,RT,MD,2022,300.56
A,TRT,T,TOTAL,RT,MD,2023,294.14
A,TRT,T,TOTAL,RT,MT,2011,107.44
A,TRT,T,TOTAL,RT,MT,2012,109.36
A,TRT,T,TOTAL,RT,MT,2013,91.64
A,TRT,T,TOTAL,RT,MT,2014,93.87
A,TRT,T,TOTAL,RT,MT,2015,86.61
A,TRT,T,TOTAL,RT,MT,2016,87.35
A,TRT,T,TOTAL,RT,MT,2017,85.08
A,TRT,T,TOTAL,RT,MT,2018,91.77
A,TRT,T,TOTAL,RT,MT,2019,84.99
A,TRT,T,TOTAL,RT,MT,2020,89.3
A,TRT,T,TOTAL,RT,MT,2021,81.77
A,TRT,T,TOTAL,RT,MT,2022,86.02
A,TRT,T,TOTAL,RT,MT,2023,74.33
A,TRT,T,TOTAL,RT,NL,2011,79.08
A,TRT,T,TOTAL,RT,NL,2012,78.44
A,TRT,T,TOTAL,RT,NL,2013,73.85
A,TRT,T,TOTAL,RT,NL,2014,68.58
A,TRT,T,TOTAL,RT,NL,2015,70.71
A,TRT,T,TOTAL,RT,NL,2016,68.93
A,TRT,T,TOTAL,RT,NL,2017,64.98
A,TRT,T,TOTAL,RT,NL,2018,64.65
A,TRT,T,TOTAL,RT,NL,2019,61.35
A,TRT,T,TOTAL,RT,NL,2020,58.96
A,TRT,T,TOTAL,RT,NL,2021,59.74
A,TRT,T,TOTAL,RT,NL,2022,59.18
A,TRT,T,TOTAL,RT,NL,2023,59.97
A,TRT,T,TOTAL,RT,NO,2011,76.02
A,TRT,T,TOTAL,RT,NO,2012,74.74
A,TRT,T,TOTAL,RT,NO,2013,70.08
A,TRT,T,TOTAL,RT,NO,2014,66.86
A,TRT,T,TOTAL,RT,NO,2015,64.33
A,TRT,T,TOTAL,RT,NO,2016,62.97
A,TRT,T,TOTAL,RT,NO,2017,61.61
A,TRT,T,TOTAL,RT,NO,2018,58.67
A,TRT,T,TOTAL,RT,NO,2019,57.0
A,TRT,T,TOTAL,RT,NO,2020,56.89
A,TRT,T,TOTAL,RT,NO,2021,55.61
A,TRT,T,TOTAL,RT,NO,2022,56.25
