ccaa,anyo,valor,quarter
Cantabria,2000,533417.0,1
Cantabria,2000,533568.0,3
Cantabria,2001,534231.0,1
Cantabria,2001,534572.0,3
Cantabria,2002,536289.0,1
Cantabria,2002,538550.0,3
Cantabria,2003,541645.0,1
Cantabria,2003,544887.0,3
Cantabria,2004,548009.0,1
Cantabria,2004,550972.0,3
Cantabria,2005,554690.0,1
Cantabria,2005,557962.0,3
Cantabria,2006,561042.0,1
Cantabria,2006,564188.0,3
Cantabria,2007,568190.0,1
Cantabria,2007,572557.0,3
Cantabria,2008,577266.0,1
Cantabria,2008,581160.0,3
Cantabria,2009,584655.0,1
Cantabria,2009,586778.0,3
Cantabria,2010,588518.0,1
Cantabria,2010,589603.0,3
Cantabria,2011,590874.0,1
Cantabria,2011,591564.0,3
Cantabria,2012,592387.0,1
Cantabria,2012,590821.0,3
Cantabria,2013,589789.0,1
Cantabria,2013,588408.0,3
Cantabria,2014,587491.0,1
Cantabria,2014,586041.0,3
Cantabria,2015,585184.0,1
Cantabria,2015,583437.0,3
Cantabria,2016,582494.0,1
Cantabria,2016,581446.0,3
Cantabria,2017,581421.0,1
Cantabria,2017,581027.0,3
Cantabria,2018,581533.0,1
Cantabria,2018,581227.0,3
Cantabria,2019,581989.0,1
Cantabria,2019,582260.0,3
Cantabria,2020,583011.0,1
Cantabria,2020,583107.0,3
Cantabria,2021,584708.0,1
Cantabria,2021,584705.0,2
Cantabria,2021,584569.0,3
Cantabria,2021,585400.0,4
Cantabria,2022,585450.0,1
Cantabria,2022,585451.0,2
Cantabria,2022,586319.0,3
Cantabria,2022,587527.0,4
Cantabria,2023,588387.0,1
Cantabria,2023,588356.0,2
Cantabria,2023,588662.0,3
Cantabria,2023,590114.0,4
Cantabria,2024,590851.0,1
Cantabria,2024,590781.0,2
Cantabria,2024,591395.0,3
Cantabria,2024,592932.0,4
Cantabria,2025,593623.0,1
Cantabria,2025,594082.0,2
Cantabria,2025,594811.0,3
Cantabria,2025,596364.0,4
Cantabria,2026,597067.0,1
Cantabria,2026,598011.0,2
Castilla - La Mancha,1971,1732601.0,1
Castilla - La Mancha,1971,1728133.0,3
Castilla - La Mancha,1972,1724105.0,1
Castilla - La Mancha,1972,1719898.0,3
Castilla - La Mancha,1973,1716748.0,1
Castilla - La Mancha,1973,1712421.0,3
Castilla - La Mancha,1974,1708726.0,1
Castilla - La Mancha,1974,1704435.0,3
Castilla - La Mancha,1975,1700000.0,1
Castilla - La Mancha,1975,1695784.0,3
Castilla - La Mancha,1976,1691766.0,1
Castilla - La Mancha,1976,1688133.0,3
Castilla - La Mancha,1977,1684472.0,1
Castilla - La Mancha,1977,1680223.0,3
Castilla - La Mancha,1978,1675864.0,1
Castilla - La Mancha,1978,1671693.0,3
Castilla - La Mancha,1979,1667593.0,1
Castilla - La Mancha,1979,1663390.0,3
Castilla - La Mancha,1980,1658770.0,1
Castilla - La Mancha,1980,1655092.0,3
Castilla - La Mancha,1981,1650671.0,1
Castilla - La Mancha,1981,1650564.0,3
Castilla - La Mancha,1982,1652928.0,1
Castilla - La Mancha,1982,1655126.0,3
Castilla - La Mancha,1983,1657050.0,1
Castilla - La Mancha,1983,1657403.0,3
Castilla - La Mancha,1984,1659015.0,1
Castilla - La Mancha,1984,1659864.0,3
Castilla - La Mancha,1985,1660848.0,1
Castilla - La Mancha,1985,1661018.0,3
Castilla - La Mancha,1986,1660971.0,1
Castilla - La Mancha,1986,1660706.0,3
Castilla - La Mancha,1987,1661437.0,1
