iso3,cabecera,year,pct_gdp
CPV,nomina,1992,0.0
CPV,nomina,1993,0.0
CPV,nomina,1994,0.0
CPV,nomina,1995,0.0
CPV,nomina,1996,0.0
CPV,nomina,1997,0.0
CPV,nomina,1998,0.0
CPV,nomina,1999,0.0
CPV,nomina,2000,0.0
CPV,nomina,2001,0.0
CPV,nomina,2002,0.0
CPV,nomina,2003,0.0
CPV,nomina,2004,0.0
CPV,nomina,2005,0.0
CPV,nomina,2006,0.0
CPV,nomina,2007,0.0
CPV,nomina,2008,0.0
CPV,nomina,2009,0.0
CPV,nomina,2010,0.0
CPV,nomina,2011,0.0
CPV,nomina,2012,0.0
CPV,nomina,2013,0.0
CPV,nomina,2014,0.0
CPV,nomina,2015,0.0
CPV,nomina,2016,0.0
CPV,nomina,2017,0.0
CPV,nomina,2018,0.0
CPV,nomina,2019,0.0
CPV,nomina,2020,0.0
CPV,nomina,2021,0.0
CPV,nomina,2022,0.0
CPV,nomina,2023,0.0
KHM,nomina,2005,0.0
KHM,nomina,2006,0.0
KHM,nomina,2007,0.0
KHM,nomina,2008,0.0
KHM,nomina,2009,0.0
KHM,nomina,2010,0.0
KHM,nomina,2011,0.0
KHM,nomina,2012,0.0
KHM,nomina,2013,0.0
KHM,nomina,2014,0.0
KHM,nomina,2015,0.0
KHM,nomina,2016,0.0
KHM,nomina,2017,0.0
KHM,nomina,2018,0.0
KHM,nomina,2019,0.0
KHM,nomina,2020,0.0
KHM,nomina,2021,0.0
KHM,nomina,2022,0.0
KHM,nomina,2023,0.0
KHM,nomina,2024,0.0
CMR,nomina,1993,0.0
CMR,nomina,1994,0.0
CMR,nomina,1995,0.0
CMR,nomina,1996,0.0
CMR,nomina,1997,0.0
CMR,nomina,1998,0.0
CMR,nomina,2000,0.0
CMR,nomina,2001,0.0
CMR,nomina,2002,0.0
CHN,nomina,2007,0.0
CHN,nomina,2008,0.0
CHN,nomina,2009,0.0
CHN,nomina,2010,0.0
CHN,nomina,2011,0.0
CHN,nomina,2012,0.0
CHN,nomina,2013,0.0
CHN,nomina,2014,0.0
CHN,nomina,2015,0.0
CHN,nomina,2016,0.0
CHN,nomina,2017,0.0
CHN,nomina,2018,0.0
CHN,nomina,2019,0.0
CHN,nomina,2020,0.0
CHN,nomina,2021,0.0
CHN,nomina,2022,0.0
CHN,nomina,2023,0.0
CHN,nomina,2024,0.0
COK,nomina,2005,0.0
COK,nomina,2006,0.0
COK,nomina,2007,0.0
COK,nomina,2008,0.0
COK,nomina,2009,0.0
COK,nomina,2010,0.0
COK,nomina,2011,0.0
COK,nomina,2012,0.0
COK,nomina,2013,0.0
COK,nomina,2014,0.0
COK,nomina,2015,0.0
COK,nomina,2016,0.0
COK,nomina,2017,0.0
COK,nomina,2018,0.0
COK,nomina,2019,0.0
COK,nomina,2020,0.0
COK,nomina,2021,0.0
COK,nomina,2022,0.0
COK,nomina,2023,0.0
COK,nomina,2024,0.0
HRV,nomina,1995,0.0
HRV,nomina,1996,0.0
HRV,nomina,1997,0.0
HRV,nomina,1998,0.0
HRV,nomina,1999,0.0
HRV,nomina,2000,0.0
HRV,nomina,2001,0.0
HRV,nomina,2002,0.0
HRV,nomina,2003,0.0
HRV,nomina,2004,0.0
HRV,nomina,2005,0.0
HRV,nomina,2006,0.0
HRV,nomina,2007,0.0
HRV,nomina,2008,0.0
HRV,nomina,2009,0.0
HRV,nomina,2010,0.0
HRV,nomina,2011,0.0
HRV,nomina,2012,0.0
HRV,nomina,2013,0.0
HRV,nomina,2014,0.0
HRV,nomina,2015,0.0
HRV,nomina,2016,0.0
HRV,nomina,2017,0.0
HRV,nomina,2018,0.0
HRV,nomina,2019,0.0
HRV,nomina,2020,0.0
HRV,nomina,2021,0.0
HRV,nomina,2022,0.0
HRV,nomina,2023,0.0
HRV,nomina,2024,0.0
CUB,nomina,1990,0.0
CUB,nomina,1991,0.0
CUB,nomina,1992,0.0
CUB,nomina,1993,0.0
DOM,nomina,1990,0.0
DOM,nomina,1991,0.0
DOM,nomina,1992,0.0
DOM,nomina,1993,0.0
DOM,nomina,1994,0.0
DOM,nomina,1995,0.0
DOM,nomina,1996,0.0
DOM,nomina,1997,0.0
DOM,nomina,1998,0.0
DOM,nomina,1999,0.0
DOM,nomina,2000,0.0
MDG,nomina,2010,0.0
MDG,nomina,2011,0.0
MDG,nomina,2012,0.0
MDG,nomina,2013,0.0
MDG,nomina,2014,0.0
MDG,nomina,2015,0.0
MDG,nomina,2016,0.0
MDG,nomina,2017,0.0
MDG,nomina,2018,0.0
MDG,nomina,2019,0.0
MDG,nomina,2020,0.0
MDG,nomina,2021,0.0
MDG,nomina,2022,0.0
MDG,nomina,2023,0.0
MDG,nomina,2024,0.0
MWI,nomina,2005,0.0
MWI,nomina,2006,0.0
